,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Founded
206,IT,316.010009765625,152.77000427246094,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",1979
207,GNRC,358.4200134277344,101.12000274658203,Generac Holdings,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1959
208,GD,199.32000732421875,176.00999450683594,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1899
209,GE,97.55000305175781,11.079999923706055,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",1892
210,GIS,64.56999969482422,52.7400016784668,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856
211,GM,61.529998779296875,36.439998626708984,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1908
212,GPC,133.7899932861328,106.0199966430664,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1925
213,GILD,69.6500015258789,64.93000030517578,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",1987
214,GL,91.83999633789062,105.19000244140625,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1900
215,GPN,129.77000427246094,181.35000610351562,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2000
216,GS,400.1099853515625,229.8000030517578,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",1869
217,GWW,507.7200012207031,338.25,W. W. Grainger,Industrials,Industrial Machinery,"Lake Forest, Illinois",1927
218,HAL,23.399999618530273,24.559999465942383,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919
219,HBI,17.399999618530273,14.739999771118164,Hanesbrands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2000
220,HIG,68.25,60.689998626708984,The Hartford,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1810
221,HAS,100.11000061035156,105.18000030517578,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1923
222,HCA,238.60000610351562,147.5500030517578,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1968
223,PEAK,34.18000030517578,34.060001373291016,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",1985
224,HSIC,74.58000183105469,66.44000244140625,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",1932
225,HSY,182.0,146.82000732421875,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
226,HES,79.97000122070312,66.1500015258789,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1919
227,HPE,15.470000267028809,15.779999732971191,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015
228,HLT,143.14999389648438,111.37000274658203,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1919
229,HOLX,76.1500015258789,51.86000061035156,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1985
230,HD,416.17999267578125,217.30999755859375,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1978
231,HON,207.14999389648438,176.4199981689453,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1906
232,HRL,42.43000030517578,45.0,Hormel,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1891
233,HST,16.579999923706055,18.6299991607666,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1993
234,HWM,30.829999923706055,30.8700008392334,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016
235,HPQ,37.290000915527344,20.489999771118164,HP,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015)
236,HUM,433.010009765625,367.7699890136719,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",1961
237,HBAN,15.489999771118164,15.039999961853027,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1866
238,HII,184.69000244140625,251.80999755859375,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2011
239,IEX,235.13999938964844,172.3300018310547,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",1988
240,IDXX,611.4299926757812,261.6000061035156,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1983
241,INFO,131.9199981689453,74.79000091552734,IHS Markit,Industrials,Research & Consulting Services,"London, England",1959
242,ITW,239.97999572753906,179.91000366210938,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",1912
243,ILMN,369.42999267578125,328.1400146484375,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",1998
244,INCY,66.7300033569336,88.05000305175781,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",1991
245,IR,59.72999954223633,36.4900016784668,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",1859
246,INTC,52.56999969482422,59.619998931884766,Intel,Information Technology,Semiconductors,"Santa Clara, California",1968
247,ICE,134.00999450683594,92.44000244140625,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2000
248,IBM,121.58000183105469,132.80999755859375,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911
249,IP,46.650001525878906,45.900001525878906,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",1898
250,IPG,35.43000030517578,23.079999923706055,Interpublic Group,Communication Services,Advertising,"New York City, New York",1961 (1930)
251,IFF,145.11000061035156,126.95999908447266,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1958 (1889)
252,INTU,673.2999877929688,262.8399963378906,Intuit,Information Technology,Application Software,"Mountain View, California",1983
253,ISRG,340.489990234375,591.3200073242188,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",1995
254,IVZ,23.389999389648438,17.93000030517578,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",1935
255,IPGP,169.1199951171875,143.4199981689453,IPG Photonics,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",1990
256,IQV,270.29998779296875,153.4499969482422,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1982
257,IRM,48.060001373291016,31.690000534057617,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",1951
258,JKHY,157.3699951171875,145.38999938964844,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",1976
259,J,143.50999450683594,89.62000274658203,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",1947
