,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry
279,LW,56.41999816894531,85.44999694824219,Lamb Weston,Consumer Staples,Packaged Foods & Meats
280,LVS,37.06999969482422,69.30000305175781,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
281,LEG,43.369998931884766,51.04999923706055,Leggett & Platt,Consumer Discretionary,Home Furnishings
282,LDOS,89.81999969482422,98.06999969482422,Leidos,Industrials,Diversified Support Services
283,LEN,114.81999969482422,55.7400016784668,Lennar,Consumer Discretionary,Homebuilding
284,LLY,245.11000061035156,131.3000030517578,Eli Lilly,Health Care,Pharmaceuticals
285,LNC,67.5,58.66999816894531,Lincoln National,Financials,Multi-line Insurance
286,LIN,330.6499938964844,211.49000549316406,Linde,Materials,Industrial Gases
287,LYV,108.62999725341797,71.20999908447266,Live Nation Entertainment,Communication Services,Movies & Entertainment
288,LKQ,58.68000030517578,35.70000076293945,LKQ Corporation,Consumer Discretionary,Distributors
289,LMT,339.1700134277344,391.8999938964844,Lockheed Martin,Industrials,Aerospace & Defense
290,L,56.849998474121094,52.0099983215332,Loews Corporation,Financials,Multi-line Insurance
291,LOW,256.9100036621094,120.05000305175781,Lowe's,Consumer Discretionary,Home Improvement Retail
292,LUMN,12.279999732971191,13.100000381469727,Lumen Technologies,Communication Services,Alternative Carriers
293,LYB,90.11000061035156,94.08999633789062,LyondellBasell,Materials,Specialty Chemicals
294,MTB,152.7100067138672,169.4199981689453,M&T Bank,Financials,Regional Banks
295,MRO,16.309999465942383,13.420000076293945,Marathon Oil,Energy,Oil & Gas Exploration & Production
296,MPC,64.2300033569336,59.66999816894531,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
297,MKTX,380.67999267578125,374.5,MarketAxess,Financials,Financial Exchanges & Data
298,MAR,156.52999877929688,151.8699951171875,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
299,MMC,172.5800018310547,111.83000183105469,Marsh & McLennan,Financials,Insurance Brokers
300,MLM,422.8599853515625,277.95001220703125,Martin Marietta Materials,Materials,Construction Materials
301,MAS,68.5999984741211,48.09000015258789,Masco,Industrials,Building Products
302,MA,339.510009765625,297.7200012207031,Mastercard,Information Technology,Data Processing & Outsourced Services
303,MTCH,134.4499969482422,82.9800033569336,Match Group,Communication Services,Interactive Media & Services
304,MKC,87.83000183105469,85.19000244140625,McCormick & Company,Consumer Staples,Packaged Foods & Meats
305,MCD,259.9100036621094,196.91000366210938,McDonald's,Consumer Discretionary,Restaurants
306,MCK,224.57000732421875,137.1699981689453,McKesson Corporation,Health Care,Health Care Distributors
